"Entrez_ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol"
"100125556",0.00492742529231194,5.24799705525115,0.127424721546759,0.898743590393026,0.991532799920154,-5.6240888280221,"LOC100125556"
"100126297",-0.0771871556059569,5.46745933897737,-1.48466621216493,0.139345715568961,0.729542086971765,-4.66911713067646,"MIR300"
"100126314",-0.0103841717807951,5.1181062693376,-0.202486735381388,0.839760249302263,0.987653444433088,-5.61320890261308,"MIR877"
"100126328",0.0249595251376693,4.67147743715534,0.601895756370201,0.547985465243533,0.933854687161623,-5.47220577409979,"MIR940"
"100126351",-0.0409201705347808,4.75699039939112,-0.896509187806408,0.371153894183521,0.876449278133707,-5.27891228407337,"MIR939"
"100126791",0.0747286598027204,5.0385721835166,1.29522889060605,0.196866209578322,0.773457860839702,-4.89780240989732,"EGOT"
"100127887",-0.0400525057789896,4.96328616951622,-0.9758354338766,0.330428955907206,0.858304769688299,-5.2139956815982,"LOC100127887"
"100127891",-0.00933954265822212,4.64677943197065,-0.244794980151099,0.806888334447092,0.982959287866997,-5.60489593010343,"LOC100127891"
"100127893",0.170129125809031,5.37626439156511,2.10096975048995,0.0370076265127352,0.577880984442393,-3.71738255963725,"LOC100127893"
"100127894",-0.0885011852617623,5.30226364860122,-1.75169524169062,0.0814945716387039,0.677642276560882,-4.29541092839323,"LOC100127894"
"100127913",-0.0511247590027191,6.55808940821688,-1.17304530207014,0.242296025924052,0.808838989947683,-5.0290958332899,"LOC100127913"
"100127915",0.0433706040099908,4.72337204925122,1.19209630329422,0.234760764091849,0.800154284306259,-5.00946447161505,"LOC100127915"
"100127918",0.027847900207906,7.90911808913718,0.550564190639259,0.582601172749876,0.942271718587735,-5.49814817668719,"LOC100127918"
"100127922",0.0642532817295907,5.52633973004518,0.875022873527327,0.382703766250046,0.88182588881921,-5.29555833674556,"LOC100127922"
"100127937",0.00879432362711086,4.76934623832734,0.216142832797104,0.829116169675737,0.987014067135941,-5.61069745418307,"LOC100127937"
"100127946",-0.0527573262268435,4.72510894332298,-1.4992214229108,0.13553229575913,0.729475435810897,-4.65028956857956,"LOC100127946"
"100127952",-0.0712000244687632,4.89010443386807,-1.8400469448637,0.0673744741316922,0.650022129369786,-4.15867447613848,"LOC100127952"
"100127975",-0.0610241775282354,9.92205217132921,-0.575161369749143,0.565885771630316,0.937918683315513,-5.48600424060577,"LOC100127975"
"100127982",0.0223155705713989,5.75674495459866,0.756676631111686,0.450212706852094,0.90551839848433,-5.3800670540818,"LOC100127982"
"100127983",0.0253801663635826,4.6678676400783,0.676775651749804,0.499399378050263,0.92177379110292,-5.43023777147063,"LOC100127983"
"100127993",0.0128505710111924,12.5643732859138,0.59082307464659,0.555364985163489,0.934824616049222,-5.47799645581278,"LOC100127993"
"100127999",0.0970231442878271,5.46641646367371,1.63739662042145,0.103259019759654,0.705813751936279,-4.46267876478521,"LOC100127999"
"100128002",0.00221187936956913,5.20935034757228,0.0729799939494347,0.941901417047586,0.995636073426226,-5.6288830654222,"LOC100128002"
"100128007",0.0850416659296398,5.23131148459708,1.80523042986805,0.072675640869284,0.65906777953867,-4.2133295699127,"LOC100128007"
"100128016",-0.0228997156200519,6.54999337027397,-0.53928756374916,0.590341290757485,0.942594481803918,-5.5035388299061,"LOC100128016"
"100128049",-0.0382272737769398,4.66856275209403,-1.14432980848782,0.253975339158056,0.816410827583078,-5.05809834419655,"LOC100128049"
"100128056",2.26120148560938e-06,6.72508487003172,6.39787975713857e-05,0.999949021710297,0.99995559026729,-5.63122343630162,"LOC100128056"
"100128060",0.0732561216789005,8.84174209467455,1.03656590256533,0.301300386997114,0.844695190428397,-5.16062340287387,"LOC100128060"
"100128062",-0.0923274762080784,11.6167799336331,-1.1064265289189,0.269988361498293,0.828422100119427,-5.09529715138643,"LOC100128062"
"100128083",0.048265856006533,4.59187733886652,0.9936865631757,0.321682219352368,0.855855062957171,-5.19863762368082,"LOC100128083"
"100128084",-0.0402678114491319,13.0058427688377,-0.689019356049943,0.491680182143442,0.918447504450208,-5.42291048559853,"LOC100128084"
"100128086",0.0668501440324132,7.62647529935311,1.53102953181826,0.127481876699744,0.728445101183461,-4.6085233085554,"LOC100128086"
"100128090",0.0171554809212893,4.78850865240589,0.420078157277807,0.674919152742693,0.960727209958683,-5.55372196565683,"LOC100128090"
"100128098",-0.0614704290795896,11.1962212644501,-0.497164926446203,0.619667099996592,0.948384612798257,-5.52269170823628,"LOC100128098"
"100128115",0.0113779821002282,6.27183826746226,0.305384302326209,0.760419138416055,0.976049501515493,-5.59025458397351,"LOC100128115"
"100128126",6.60125784150978e-05,8.17728150124323,0.000657499503635063,0.9994761045996,0.99984018155197,-5.63122324813458,"LOC100128126"
"100128163",-0.0168677073941401,5.56139895207339,-0.39366889573576,0.694281930640981,0.965477128024951,-5.56315582353224,"LOC100128163"
"100128191",0.0407040249596093,5.01270310473576,1.40723462761082,0.161047087294443,0.742792582309332,-4.76626800833334,"LOC100128191"
"100128196",0.11988294748148,10.5033629062265,2.22239447022531,0.0274766194803343,0.551365999860524,-3.49314440228164,"LOC100128196"
